,a,b,c,d
0,0.19044536,0.340894,0.84528923,0.6651425
1,0.10508774,0.2736848,0.99590516,0.98241574
2,0.74778867,0.38248008,1.0,0.99894506
3,0.38304114,0.66049474,0.59033406,0.74774253
4,0.7846515,0.0,0.99564475,0.34003365
5,0.122636825,0.2975963,1.0,0.96748805
6,0.43474743,0.32600138,0.5906437,0.42431277
7,0.36978117,0.41369987,0.45468104,0.5045623
8,0.60869074,0.3785937,0.7360575,0.485038
9,0.102464326,0.43146828,0.8208655,0.9442966
10,0.09324946,0.22216755,0.96873415,0.98747987
11,0.74141276,0.0,0.9888878,0.35139725
12,0.11284991,0.34416136,0.80000204,0.799775
13,0.66151386,0.22187819,0.7539065,0.24462366
14,0.28975153,0.0070645045,0.59927744,0.27637127
15,0.11128792,0.3708525,0.6553594,0.8313929
16,0.64508903,0.21937925,0.76179016,0.24817434
17,0.4527052,0.3285353,0.58907604,0.3928589
18,0.39924577,0.35782686,0.44973302,0.37662187
19,0.080800176,0.28670445,1.0,0.93395567
20,0.108071595,0.16920064,0.967186,0.76344985
21,0.4031731,0.3534405,0.4551976,0.38077107
22,0.27228957,0.622964,0.8123727,0.9569203
23,0.31619054,0.011415781,0.58228034,0.16609575
24,0.5910844,0.36953616,0.7780393,0.47740015
25,0.08497696,0.27545354,0.9729185,0.8781576
26,0.59748554,0.31426927,1.0,0.9858638
27,0.07448711,0.21535434,0.13825941,0.26096976
28,0.13059497,0.43188986,0.8478189,0.9152561
29,0.6313445,0.15625982,0.7603763,0.19417818
30,0.44998914,0.35298836,0.9994864,1.0
31,0.65592605,0.39539573,0.7223325,0.43647924
32,0.87150466,0.41208902,0.99709606,0.89473176
33,0.75694245,0.36862448,0.9950239,1.0
34,0.61415607,0.3865655,0.73201656,0.48331103
35,0.07033183,0.097587354,0.9614272,0.5628595
36,0.7630376,0.0,1.0,0.35521063
37,0.6554489,0.22240783,0.75460076,0.24406688
38,0.08726588,0.23693363,0.97964543,1.0
39,0.2875823,0.0151634775,0.39028808,0.027998995
40,0.6496521,0.3800007,0.75497776,0.43705425
41,0.80357754,0.0069197654,1.0,0.3211451
42,0.750987,0.0,0.9950927,0.37033454
43,0.2892773,0.005593786,0.59840876,0.28042373
44,0.29158518,0.005622799,0.39034337,0.035187054
45,0.06521968,0.2475838,0.9997701,1.0
46,0.6531748,0.21767421,0.7589585,0.24808478
47,0.39634255,0.24830978,1.0,0.9716249
48,0.6631979,0.38192734,0.7457067,0.42243308
49,0.7706511,0.0,1.0,0.35993353
50,0.61431015,0.3740047,0.6803566,0.48474237
51,0.1029624,0.30407852,0.9974227,0.9242922
52,0.082490794,0.1399015,0.969411,0.7858914
53,0.6564258,0.21616235,0.76006943,0.24665765
54,0.599752,0.25060943,0.7710187,0.33188045
55,0.38870555,0.65614617,0.60938853,0.7560166
56,0.30078727,0.010290412,0.5968515,0.2390337
57,0.14011228,0.5595259,0.7595739,0.87711024
58,0.5142064,0.6571116,0.600589,0.6897132
59,0.61965215,0.0072229,0.9742737,0.9706742
60,0.2620412,0.41038376,0.9693573,0.98398453
61,0.44681937,0.65893453,0.59508926,0.7182911
62,0.6402509,0.16105205,0.76025105,0.1848059
63,0.8078082,0.0,0.99194336,0.23367657
64,0.6510608,0.22227734,0.75292754,0.24417512
65,0.6489703,0.013333053,0.9814791,0.5964523
66,0.69070154,0.2937352,0.99896383,0.9839086
67,0.17906119,0.024338301,0.8975974,0.46923193
68,0.67028177,0.016278725,0.98853785,0.5742881
69,0.34882244,0.3878128,0.47008246,0.53153783
70,0.78030634,0.81961644,0.9971823,1.0
71,0.7961342,0.0,0.99287486,0.32500306
72,0.6080839,0.25167146,0.76627475,0.32931888
73,0.6675763,0.40232646,1.0,0.95765394
74,0.69581443,0.10927534,0.76523936,0.13070741
75,0.6664099,0.15390284,0.7555303,0.1735678
76,0.5040195,0.0,0.92450017,0.31615195
77,0.0,0.039785612,0.8895989,0.62304944
78,0.6559999,0.4009686,0.71590227,0.45064652
79,0.7584175,0.0,0.9778995,0.34317684
80,0.49025077,0.65634114,0.5988628,0.7004989
81,0.16111852,0.34193286,0.6386149,0.7589105
82,0.3912721,0.35437596,0.45798478,0.37671635
83,0.29170188,0.018518867,0.56210494,0.22247455
84,0.8190069,0.010690269,0.99457216,0.18653594
85,0.32377592,0.013396139,0.58807975,0.15870675
86,0.62598234,0.16189104,0.76754665,0.18720503
87,0.83879805,0.024977412,0.99252015,0.11755497
88,0.6399772,0.1658992,0.7225164,0.18304348
89,0.5148134,0.0,0.97041863,0.31701863
90,0.7638296,0.40436798,0.99786645,1.0
91,0.12473921,0.33650783,0.8476458,0.77200925
92,0.39742264,0.35844755,0.45118424,0.37631714
93,0.06462362,0.09938085,0.94912314,0.5653944
94,0.6941827,0.029263496,1.0,0.844332
95,0.5387885,0.3639491,0.80199033,0.4886584
96,0.4903175,0.0182555,0.96649426,0.50869054
97,0.38924322,0.3260239,0.6481685,0.43188715
98,0.7744264,0.022159653,1.0,0.33361045
99,0.52899384,0.0023621845,0.96475667,0.308171
