,a
0,b'Dog'
1,b'Human face'
2,b'Mammal'
3,b'Carnivore'
4,b'Dessert'
5,b'Food'
6,b'Animal'
7,b'Dessert'
8,b'Food'
9,b'Toy'
10,b'Tableware'
11,b'Plate'
12,b'Pig'
13,b'Person'
14,b'Cat'
15,b'Human head'
16,b'Skull'
17,b'Food'
18,b'Human face'
19,b'Ice cream'
20,b'Sculpture'
21,b'Dog bed'
22,b'Tableware'
23,b'Dairy'
24,b'Plate'
25,b'Dessert'
26,b'Food'
27,b'Ice cream'
28,b'Coffee'
29,b'Baked goods'
30,b'Cake'
31,b'Baked goods'
32,b'Office supplies'
33,b'Food'
34,b'Dairy'
35,b'Snowman'
36,b'Bear'
37,b'Clothing'
38,b'Furniture'
39,b'Drink'
40,b'Coffee'
41,b'Plate'
42,b'Furniture'
43,b'Cake'
44,b'Human hair'
45,b'Footwear'
46,b'Book'
47,b'Clothing'
48,b'Book'
49,b'Man'
50,b'Polar bear'
51,b'Snack'
52,b'Snack'
53,b'Human hand'
54,b'Flowerpot'
55,b'Saucer'
56,b'Human eye'
57,b'Footwear'
58,b'Human hair'
59,b'Bottle'
60,b'Table'
61,b'Cattle'
62,b'Human face'
63,b'Fast food'
64,b'Human body'
65,b'Dog'
66,b'Tableware'
67,b'Dairy'
68,b'Rabbit'
69,b'Saucer'
70,b'Box'
71,b'Drink'
72,b'Office supplies'
73,b'Drink'
74,b'Monkey'
75,b'Clothing'
76,b'Human hand'
77,b'Panda'
78,b'Table'
79,b'Clothing'
80,b'Goat'
81,b'Human nose'
82,b'Poster'
83,b'Book'
84,b'Bust'
85,b'Chicken'
86,b'Human eye'
87,b'Bronze sculpture'
88,b'Chair'
89,b'Houseplant'
90,b'Fashion accessory'
91,b'Platter'
92,b'Drink'
93,b'Human face'
94,b'Human nose'
95,b'Coffee cup'
96,b'Horse'
97,b'Human face'
98,b'Box'
99,b'Human arm'
