,a
0,0.6347348
1,0.57581216
2,0.54025954
3,0.44975948
4,0.36979234
5,0.3368091
6,0.2914544
7,0.27763423
8,0.2510834
9,0.24680492
10,0.22952195
11,0.22499998
12,0.19741534
13,0.19564757
14,0.16206226
15,0.15124667
16,0.14338414
17,0.14172713
18,0.14041485
19,0.12633511
20,0.10450289
21,0.091669954
22,0.0852949
23,0.075872146
24,0.06819501
25,0.06690331
26,0.059069455
27,0.056850173
28,0.05511037
29,0.05465868
30,0.052924205
31,0.050016973
32,0.04948567
33,0.048103645
34,0.047557477
35,0.047338765
36,0.047335505
37,0.04398317
38,0.043977566
39,0.041592572
40,0.03975939
41,0.03756247
42,0.036303252
43,0.029611196
44,0.029384948
45,0.02920555
46,0.028939933
47,0.028777
48,0.028709946
49,0.028686397
50,0.02795648
51,0.027085943
52,0.026891971
53,0.02655938
54,0.02607743
55,0.025883785
56,0.025420178
57,0.024750244
58,0.024635486
59,0.024087496
60,0.023776364
61,0.022869747
62,0.022781078
63,0.021718362
64,0.021101369
65,0.02109681
66,0.020454485
67,0.019779444
68,0.018529458
69,0.018161753
70,0.017428892
71,0.017139858
72,0.016570305
73,0.01620598
74,0.015813608
75,0.015655734
76,0.015424256
77,0.0153388
78,0.015041699
79,0.014691773
80,0.014634004
81,0.014474482
82,0.01419955
83,0.013825834
84,0.013703068
85,0.013686595
86,0.013663344
87,0.013566482
88,0.013256105
89,0.013105039
90,0.012949358
91,0.012598145
92,0.012553424
93,0.012291578
94,0.011879009
95,0.011555995
96,0.0111568635
97,0.0109707825
98,0.010848203
99,0.010797355
